Epoch,esophagus_loss,trachea_loss,lung_loss,heart_loss,kidney_loss,stomach_loss,liver_loss,gallbladder_loss,pancreas_loss,spleen_loss,colon_loss,aorta_loss,rib_loss,humerus_loss,scapula_loss,clavicula_loss,iliopsoas_loss,autochthon_loss
0,0.6763052,0.6517738,0.6978282000000001,0.6933786,0.694706,0.6693097999999998,0.711643,0.7013689999999999,0.6283457999999998,0.6996274,0.6915701999999999,0.695834,0.6977807999999998,0.4570934,0.6439097999999999,0.6590069999999998,0.6617362000000001,0.6335168000000001
1,0.694829,0.6377311999999999,0.6942524000000001,0.694233,0.6962370000000001,0.6943788,0.6906696000000001,0.6779914,0.6389040000000001,0.6825734000000001,0.6382808,0.6937112,0.6948573999999998,0.6383302000000001,0.6499426,0.6459482000000001,0.6322124,0.6386498000000002
2,0.6820312000000002,0.6844288000000001,0.6935925999999999,0.6926422,0.6934388,0.6841936000000001,0.6924102000000001,0.6590123999999999,0.5772934000000001,0.6554734000000001,0.5737515999999999,0.6898945999999999,0.636655,0.44175440000000005,0.2508712,0.2733672,0.0,0.652562
3,0.687257,0.6811666000000001,0.6934306,0.689442,0.6843716,0.6839848,0.6881844,0.6689271999999998,0.6440111999999999,0.675766,0.6270005999999999,0.6894246,0.6270164,0.6257118,0.6264184,0.6263022,0.6275428,0.6270466000000001
4,0.6897454000000001,0.5967306000000001,0.6933665999999999,0.692239,0.6934415999999999,0.666704,0.693469,0.6864798,0.6319739999999999,0.6621314000000001,0.5906518000000001,0.6936532,0.6938690000000001,0.6030724000000001,0.5139497999999999,0.6624232000000002,0.051208,0.5977904
5,0.6922106000000001,0.6927883999999999,0.6931858,0.6868224,0.6804315999999999,0.6839993999999999,0.6934742000000002,0.6961138000000001,0.6237946,0.6938966000000001,0.5192292000000001,0.6921782,0.6757491999999999,0.6870587999999999,0.4300376000000001,0.42903120000000006,0.430293,0.6583652
6,0.6882372,0.6884846,0.6931025999999999,0.6909276,0.6934186,0.685779,0.693155,0.6610338000000001,0.6001141999999999,0.6915683999999999,0.5646672000000001,0.6907025999999998,0.672865,0.5648224000000001,0.5639314000000001,0.6720678,0.5671406,0.6880801999999999
7,0.6889586,0.693251,0.6933271999999999,0.6906665999999999,0.6890198000000001,0.6564059999999999,0.6847288,0.6830978,0.681104,0.6841794,0.690897,0.6918946000000001,0.6733720000000001,0.5830530000000002,0.456034,0.4562864,0.4553681999999999,0.4563602000000001
8,0.6944276,0.667544,0.6930369999999999,0.6933457999999999,0.6834051999999999,0.6618048,0.6864972,0.657039,0.6856843999999999,0.6809724,0.5776009999999999,0.6933797999999999,0.6741849999999999,0.4710886,0.4711434,0.4726443999999999,0.4712368000000001,0.6018654000000001
9,0.6779616,0.6707324,0.6931398,0.686346,0.6826635999999999,0.6839624,0.6827278,0.6697585999999999,0.5998622000000001,0.6682428,0.5614796,0.6810162000000001,0.678703,0.6827217999999999,0.6791460000000001,0.6765324,0.6745403999999999,0.6784608
