Epoch,lung_loss,stomach_loss,liver_loss,pancreas_loss,spleen_loss,colon_loss
0,0.69798,0.6835,0.7713800000000001,0.6465,0.64336,0.6909
1,0.73028,0.33228,0.9503600000000001,0.27664,0.27802,0.3396
2,0.6970799999999999,0.40259999999999996,0.61534,0.38849999999999996,0.41337999999999997,0.44214000000000003
3,0.6958599999999999,0.33408000000000004,0.70064,0.22868,0.27984,0.28668
4,0.70076,0.55096,0.6285399999999999,0.5192,0.5642199999999999,0.53408
5,0.6987,0.5496000000000001,0.55776,0.45368,0.5580999999999999,0.56048
6,0.69164,0.43091999999999997,0.5659400000000001,0.27792,0.42648,0.41850000000000004
7,0.6976,0.5454399999999999,0.5765399999999999,0.5253599999999999,0.61874,0.56032
8,0.6877800000000001,0.27044,0.27604,0.22232,0.5717599999999999,0.29660000000000003
9,0.6968,0.6088,0.7040599999999999,0.11510000000000001,0.7375999999999999,0.657
10,0.67042,0.44528,0.76228,0.5534399999999999,0.96078,0.3928
11,0.7013999999999999,0.7535,0.69384,0.9263999999999999,0.8381000000000001,0.6228
12,0.70336,0.28315999999999997,0.27759999999999996,0.35712,0.7059399999999999,0.30156
13,0.6965,0.55264,0.5534600000000001,0.5680799999999999,0.5606800000000001,0.5777599999999999
14,0.70062,0.14038,0.6956800000000001,0.14792,0.6904,0.13916
15,0.70002,0.4116000000000001,0.41566000000000003,0.45366,0.41952,0.4293
16,0.56136,0.4164,0.41592,0.40607999999999994,0.55966,0.4122
17,0.6988200000000001,0.14150000000000001,0.42638,0.13757999999999998,0.69392,0.13848
18,0.70706,0.2872,0.281,0.29188000000000003,0.42138,0.27692
19,0.69506,0.27604,0.2838,0.27804,0.70594,0.29708
20,0.5578,0.5604,0.55812,0.53888,0.5585,0.55424
21,0.70018,0.6949,0.6888,0.7191,0.71246,0.6978
22,0.6965399999999999,0.7007,0.70848,0.6888,0.6978,0.6958
23,0.5606,0.27827999999999997,0.27912,0.27204,0.5569200000000001,0.27844
24,0.6958,0.5571200000000001,0.55636,0.5571200000000001,0.5582799999999999,0.53576
25,0.69592,0.28808,0.55908,0.27588,0.55632,0.27512
26,0.6933800000000001,0.7238,0.69486,0.6957,0.70296,0.6975
