Epoch,Overall_Loss
0,1.68076
1,1.88654
2,1.6819799999999998
3,1.5405799999999998
4,1.70122
5,2.3173
6,1.6303999999999998
7,1.69734
8,1.50636
9,1.52412
10,1.75036
11,1.74862
12,1.73446
13,1.68078
14,1.68512
15,1.6896200000000001
16,1.52984
17,1.67606
18,1.69574
19,1.82836
20,1.5315400000000001
21,1.6839600000000001
22,1.5360999999999998
23,1.53258
24,1.66556
25,1.95304
26,1.81798
27,1.5364
28,1.67336
29,1.5369199999999998
30,1.5265799999999998
31,1.53302
32,1.53352
33,1.66238
34,2.3803799999999997
35,1.67166
36,1.6686800000000002
37,1.5371200000000003
38,1.6702
39,1.5220599999999997
40,2.26844
41,2.3199199999999998
42,1.4587800000000002
43,1.43278
44,2.10248
45,1.6330199999999997
46,1.6127000000000002
47,1.68284
48,1.54764
49,1.53544
50,1.6766599999999996
51,1.5408199999999999
52,2.3754399999999998
53,1.5337399999999999
54,1.6715200000000003
55,1.66876
56,1.6759200000000003
57,1.67128
58,1.5318
59,1.5321199999999997
60,1.6682400000000002
61,1.6706800000000002
62,1.6689399999999999
63,1.6702000000000001
64,2.3729000000000005
65,1.6714599999999997
66,1.5313199999999998
67,1.53192
68,1.6723000000000003
69,1.67056
70,1.52878
71,2.2262
72,1.67056
73,1.38858
74,1.66856
75,1.6671
76,1.66506
77,1.66632
78,1.6688800000000001
79,1.8054400000000002
80,1.6646999999999998
81,1.6680199999999998
82,1.6686800000000002
83,1.6671600000000002
84,1.6654600000000002
85,1.6652800000000003
86,1.66712
87,1.6665800000000002
88,1.6675200000000003
89,1.5279800000000001
90,1.5290400000000002
91,1.52696
92,1.66818
93,1.6659399999999998
94,1.6671000000000002
95,1.66524
96,1.6696000000000002
97,1.66554
98,1.6659400000000002
99,1.6674599999999997
100,1.66764
101,1.6640799999999998
102,1.6680599999999999
103,1.66754
104,1.52718
105,1.6655600000000004
106,1.6642800000000002
107,1.666
108,1.6671999999999998
109,1.5263
110,1.6638199999999999
111,1.94664
112,1.6667200000000002
113,1.6682
114,1.80562
115,1.668
116,1.3870999999999998
117,1.66698
118,1.6646
119,2.36048
120,1.66674
121,1.6682400000000002
122,1.52934
123,1.6671399999999998
124,1.5276
125,1.66468
126,1.52826
127,1.80432
128,1.6655200000000001
129,1.80518
130,1.80036
131,1.52458
132,1.6659199999999998
133,1.8040600000000002
134,1.6620199999999996
135,2.35526
136,1.6606200000000002
137,1.6617799999999998
138,1.5352
139,1.6669
140,1.6630200000000002
141,1.66368
142,1.6682400000000002
143,1.66554
144,1.6624400000000001
145,1.6637799999999998
146,1.6597199999999996
147,1.52144
148,1.6579000000000002
149,1.6547
150,1.6535599999999995
151,2.3276399999999997
152,1.79296
153,1.4976800000000001
154,1.67408
155,1.6732600000000002
156,1.534
157,1.52906
