abnormality,auc,acc,spec,sens,f1,prec
Emphysema,0.7080912511881665,0.6675191815856778,0.664813343923749,0.6786885245901639,0.7006375288080671,0.32909379968203495
Atelectasis,0.6111904761904762,0.7544757033248082,0.9025,0.2664835164835165,0.7298383171532491,0.4532710280373832
Lung nodule,0.548743062896406,0.5319693094629157,0.513953488372093,0.5539772727272727,0.533005209545434,0.48267326732673266
Lung opacity,0.5291026754032397,0.5198209718670077,0.5146137787056367,0.528052805280528,0.5259752252626523,0.40764331210191085
Pulmonary fibrotic sequela,0.5986644668681089,0.6195652173913043,0.6481970096745823,0.5433255269320844,0.6375402217930628,0.3670886075949367
Pleural effusion,0.8847445887445887,0.8433503836317136,0.8552727272727273,0.7566137566137566,0.861304110637734,0.41812865497076024
Mosaic attenuation pattern,0.6914199615868601,0.7180306905370843,0.7280945757997218,0.6031746031746031,0.780138011002059,0.16274089935760172
Peribronchial thickening,0.5748143577085262,0.6048593350383632,0.6155507559395248,0.52,0.6778025054710366,0.1456
Consolidation,0.8093676113532025,0.7372122762148338,0.7330173775671406,0.7550335570469798,0.7622936661736569,0.3996447602131439
Bronchiectasis,0.6250471888189009,0.592071611253197,0.5827956989247312,0.6686390532544378,0.668856816445873,0.16258992805755396
Interlobular septal thickening,0.7199876792114696,0.610613810741688,0.6013888888888889,0.717741935483871,0.699128262107756,0.13423831070889894
Cardiomegaly,0.6397931184668989,0.6157289002557544,0.6157142857142858,0.6158536585365854,0.6901296800091261,0.15805946791862285
Pericardial effusion,0.682096411154183,0.9085677749360613,0.953920220082531,0.3090909090909091,0.906758849313581,0.33663366336633666
Coronary artery wall calcification,0.4775952906935971,0.5652173913043478,0.6079931972789115,0.43556701030927836,0.5919628431484869,0.26825396825396824
Hiatal hernia,0.5228880679417097,0.5166240409207161,0.513372956909361,0.536697247706422,0.589245305712401,0.15155440414507773
Arterial wall calcification,0.5607138857497735,0.6854219948849105,0.7838795394154119,0.4298850574712644,0.6849736282622068,0.43387470997679817
