abnormality,auc,acc,spec,sens,f1,prec
Emphysema,0.6392531152749386,0.6636828644501279,0.6949960285941224,0.5344262295081967,0.6935664360957673,0.2979890310786106
Atelectasis,0.5999290293040294,0.7340153452685422,0.87,0.2857142857142857,0.717373600363885,0.4
Lung nodule,0.5579016913319239,0.5332480818414322,0.49186046511627907,0.5838068181818182,0.5335778296511104,0.4846698113207547
Lung opacity,0.6039483384664145,0.5748081841432225,0.5417536534446764,0.6270627062706271,0.5799955847436372,0.463980463980464
Pulmonary fibrotic sequela,0.6179971534441883,0.59846547314578,0.6068601583113457,0.5761124121779859,0.619552034827442,0.354978354978355
Pleural effusion,0.6492813852813853,0.7020460358056266,0.7301818181818182,0.4973544973544973,0.7482971499289364,0.2021505376344086
Mosaic attenuation pattern,0.6215588228801026,0.5882352941176471,0.588317107093185,0.5873015873015873,0.6810169584645813,0.1111111111111111
Peribronchial thickening,0.5126483595598066,0.7883631713554987,0.8696904247660188,0.14285714285714285,0.7957789037334398,0.12135922330097088
Consolidation,0.7492763764750787,0.7154731457800512,0.7243285939968405,0.6778523489932886,0.7420741363856871,0.3666061705989111
Bronchiectasis,0.6331000402960701,0.6016624040920716,0.6,0.6153846153846154,0.6770743544336474,0.15709969788519637
Interlobular septal thickening,0.5518425179211469,0.7327365728900256,0.7722222222222223,0.27419354838709675,0.7861396360335503,0.09392265193370165
Cardiomegaly,0.7333079268292684,0.7666240409207161,0.7828571428571428,0.6280487804878049,0.8051936113180199,0.25307125307125306
Pericardial effusion,0.6268757033887707,0.7372122762148338,0.7551581843191196,0.5,0.7979526028036548,0.13381995133819952
Coronary artery wall calcification,0.6538523914720529,0.6086956521739131,0.5969387755102041,0.6443298969072165,0.6352048795746013,0.3453038674033149
Hiatal hernia,0.5638350804967488,0.5684143222506394,0.5794947994056464,0.5,0.6347239756697546,0.16148148148148148
Arterial wall calcification,0.7573521476639891,0.6860613810741688,0.6563330380868024,0.7632183908045977,0.7021198391390355,0.46111111111111114
