Epoch,Overall_Loss
0,3.7848409999999997
1,3.9010359999999995
2,3.918332
3,3.7939540000000007
4,3.896942
5,3.8817040000000005
6,3.788094999999999
7,3.880850000000001
8,3.8578150000000004
9,3.7797389999999997
10,3.94002
11,3.7657610000000004
12,3.814458
13,3.8556909999999998
14,3.842579
15,3.8484770000000004
16,3.7517560000000003
17,3.8631070000000007
18,3.8499230000000004
19,3.8903269999999996
20,3.8059879999999997
21,3.8589239999999996
22,3.9112460000000002
23,3.9103589999999993
24,3.868745
25,3.7645570000000004
26,3.868625
27,3.8479889999999997
28,3.8608119999999997
29,3.8069439999999997
30,3.730016
31,3.8293630000000003
32,3.9261819999999994
33,3.8754980000000008
34,3.8420620000000003
35,3.8567999999999993
36,3.834876000000001
37,3.8417769999999996
38,3.737530999999999
39,3.694244
40,3.847739
41,3.7789439999999996
42,3.8771069999999996
43,3.7581290000000007
44,3.7848909999999996
45,3.7990939999999993
46,3.8268869999999997
47,3.820852
48,3.792410999999999
49,3.749504
50,3.826972
51,3.6879329999999992
52,3.9100050000000004
53,3.8478599999999994
54,3.847116
55,3.874346
56,3.743006
57,3.7904930000000006
58,3.882441
59,3.909288000000001
60,3.826078
61,3.8908639999999997
62,3.7911409999999997
63,3.8208480000000002
64,3.799765
65,3.7365109999999992
66,3.937058
67,3.723263999999999
68,3.826783
69,3.806273
70,3.943695
71,3.8681890000000005
72,3.78388
73,3.770432
74,3.8454610000000002
75,3.784334
76,3.7786829999999996
77,3.7007760000000003
78,3.777192
79,3.824572
80,3.8197110000000003
81,3.8397299999999994
82,3.8348749999999994
83,3.8960899999999996
84,3.7711590000000013
85,3.791103
86,3.74306
87,3.7151349999999996
88,3.915819999999999
89,3.776917000000001
90,3.847384000000001
91,3.902909
92,3.7908949999999995
93,3.8600109999999996
94,3.895333
95,3.7574569999999996
96,3.8707610000000003
97,3.764288
98,3.8951580000000003
99,3.81916
