Epoch,esophagus_loss,trachea_loss,lung_loss,heart_loss,kidney_loss,stomach_loss,liver_loss,spleen_loss,aorta_loss,rib_loss,scapula_loss,autochthon_loss
0,0.7143079999999999,0.715206,0.7016769999999998,0.6984739999999999,0.0,0.6874310000000001,0.709668,0.54301,0.6988339999999998,0.696977,0.700466,0.6989100000000001
1,0.6956819999999998,0.700967,0.6964830000000001,0.699867,0.3594319999999999,0.6214610000000002,0.7088090000000001,0.6823469999999999,0.696118,0.3731659999999999,0.46103399999999994,0.25704200000000005
2,0.6959569999999999,0.6952769999999999,0.6957869999999999,0.6953970000000002,0.6822010000000002,0.6692580000000001,0.6949730000000003,0.6644660000000003,0.6965899999999999,0.6623529999999996,0.668554,0.636704
3,0.6958719999999999,0.6957949999999998,0.694442,0.6950760000000001,0.0,0.6740339999999999,0.6885840000000001,0.659117,0.69439,0.617649,0.66775,0.614184
4,0.6949780000000001,0.6952719999999999,0.693687,0.6944800000000002,0.6140699999999998,0.6870450000000001,0.6942670000000001,0.681519,0.694674,0.6743490000000003,0.6515689999999998,0.6531150000000001
5,0.6942159999999999,0.6870609999999998,0.6935530000000003,0.694311,0.0,0.5944469999999998,0.6943429999999999,0.6755060000000002,0.6944369999999997,0.6280540000000001,0.5818570000000002,0.5830519999999999
6,0.6930710000000001,0.6944729999999999,0.6936229999999999,0.694002,0.0,0.646247,0.6799199999999999,0.6669699999999998,0.6937030000000002,0.63988,0.6477090000000001,0.374916
7,0.6939740000000001,0.6952240000000001,0.6932799999999998,0.6935159999999999,0.0,0.6386179999999999,0.6946939999999999,0.6745319999999999,0.693649,0.6805110000000002,0.6795849999999999,0.6803710000000001
8,0.6944509999999999,0.6929500000000001,0.6935629999999999,0.693553,0.6666240000000001,0.6257410000000001,0.6941919999999997,0.6729399999999999,0.686588,0.6863980000000002,0.6868000000000001,0.6848020000000002
9,0.6933400000000001,0.692654,0.6934219999999999,0.6932309999999998,0.0,0.6104340000000001,0.69345,0.6947649999999997,0.693525,0.6821270000000001,0.6819079999999996,0.6807550000000002
10,0.6930099999999999,0.6938399999999999,0.6935189999999999,0.6936610000000001,0.0,0.649039,0.6936829999999999,0.6787199999999999,0.6940000000000001,0.5272950000000001,0.5266580000000001,0.5269360000000001
11,0.6936450000000001,0.6946439999999999,0.6934630000000002,0.6940379999999999,0.6245330000000001,0.6787350000000001,0.6939439999999999,0.6680320000000001,0.6798800000000003,0.6408149999999999,0.6438180000000001,0.640989
