Epoch,Overall_Loss
0,3.788081
1,3.8905389999999995
2,3.9166429999999997
3,3.7954239999999992
4,3.896153
5,3.88096
6,3.789062999999999
7,3.8793249999999997
8,3.857072
9,3.77937
10,3.9391589999999996
11,3.7680240000000005
12,3.8136760000000005
13,3.8589929999999995
14,3.844842
15,3.849035
16,3.753849
17,3.863356
18,3.849835
19,3.890631999999999
20,3.807734
21,3.855261
22,3.9097910000000002
23,3.9102350000000006
24,3.86792
25,3.764731
26,3.868894
27,3.848376
28,3.8604960000000004
29,3.806521
30,3.729387
31,3.8271979999999997
32,3.9239340000000005
33,3.875279
34,3.84146
35,3.855932
36,3.8333929999999996
37,3.840599
38,3.7370530000000004
39,3.6949560000000004
40,3.8477159999999997
41,3.7773250000000003
42,3.875678
43,3.757259000000001
44,3.7863609999999994
45,3.7997170000000007
46,3.826692
47,3.8193810000000004
48,3.7922819999999997
49,3.749685999999999
50,3.8260769999999997
51,3.687412
52,3.9091830000000005
53,3.8467770000000012
54,3.84602
55,3.8762990000000004
56,3.742281
57,3.793732
58,3.8820360000000007
59,3.909135
60,3.8265569999999998
61,3.889087
62,3.7918320000000008
63,3.8203910000000003
64,3.7985350000000007
65,3.735887
66,3.9364200000000005
67,3.7226839999999997
68,3.827114
69,3.804871
70,3.9434470000000004
71,3.8700459999999994
72,3.785362
73,3.7711379999999997
74,3.846952
75,3.785284999999999
76,3.77885
77,3.7012429999999994
78,3.7784090000000004
79,3.8263620000000005
80,3.8185309999999997
81,3.8397129999999997
82,3.8342840000000002
83,3.8953170000000004
84,3.771610000000001
85,3.79268
86,3.7430480000000004
87,3.7144250000000003
88,3.9163290000000006
89,3.776974
90,3.8477830000000006
91,3.90363
92,3.792233
93,3.8601930000000007
94,3.895334
95,3.756306000000001
96,3.868178
97,3.7635889999999996
98,3.8953239999999996
99,3.818574
