Epoch,esophagus_loss,trachea_loss,lung_loss,heart_loss,kidney_loss,stomach_loss,liver_loss,spleen_loss,aorta_loss,rib_loss,scapula_loss,autochthon_loss
0,0.713527,0.718412,0.7009340000000001,0.7006429999999999,0.0,0.6707189999999998,0.698863,0.5466789999999998,0.6978150000000001,0.6945670000000002,0.7036330000000001,0.6990010000000001
1,0.6966340000000001,0.7115260000000001,0.6993739999999998,0.7033959999999999,0.3624239999999999,0.613946,0.69979,0.6755700000000001,0.70083,0.37853899999999996,0.4580970000000001,0.2508969999999999
2,0.6958150000000001,0.6963919999999999,0.6953969999999999,0.695611,0.6691060000000002,0.6667700000000002,0.6945699999999999,0.6683610000000002,0.696396,0.664397,0.6675960000000002,0.6420140000000002
3,0.6957319999999999,0.6950370000000001,0.69439,0.6946400000000001,0.0,0.6697989999999998,0.687496,0.6571229999999999,0.6944710000000001,0.6181090000000001,0.6722009999999998,0.613756
4,0.694538,0.695248,0.6941289999999999,0.6937170000000001,0.6248699999999999,0.6919290000000001,0.695557,0.683697,0.6940729999999999,0.6742440000000002,0.6550750000000001,0.6537310000000001
5,0.6942260000000003,0.68757,0.6939890000000001,0.6943780000000003,0.0,0.5899640000000002,0.6946129999999998,0.6762300000000002,0.694865,0.6241030000000002,0.5823110000000002,0.5845249999999997
6,0.6933360000000002,0.693402,0.6936079999999998,0.6943000000000003,0.0,0.6448259999999999,0.679597,0.665978,0.6940909999999999,0.640555,0.6452009999999998,0.3759359999999999
7,0.694534,0.6951189999999999,0.693908,0.693651,0.0,0.638101,0.694478,0.6749490000000001,0.694219,0.6807629999999998,0.6814910000000003,0.6779120000000003
8,0.694183,0.693796,0.6934689999999999,0.6938390000000002,0.6738239999999999,0.6241949999999999,0.6937579999999999,0.6721489999999999,0.6867220000000002,0.6867190000000002,0.6865450000000002,0.6870570000000003
9,0.6937599999999999,0.6931529999999999,0.693002,0.6934339999999999,0.0,0.6093120000000001,0.6936340000000001,0.694392,0.6937219999999997,0.6836770000000001,0.6795570000000001,0.6806080000000001
10,0.693532,0.694191,0.6934100000000001,0.693416,0.0,0.652033,0.6934169999999998,0.6819580000000001,0.69379,0.5284059999999999,0.5264970000000001,0.5249760000000001
11,0.693473,0.693286,0.6933730000000002,0.6938499999999999,0.631449,0.6732490000000001,0.6934380000000001,0.6645290000000001,0.6795680000000002,0.6389030000000001,0.6399330000000001,0.6381880000000001
12,0.6930360000000002,0.6940780000000001,0.6933020000000001,0.6936240000000001,0.0,0.5889790000000001,0.6933840000000001,0.6684629999999998,0.6938939999999998,0.6659670000000001,0.5829100000000002,0.5821830000000002
13,0.693484,0.692923,0.69337,0.6933599999999999,0.49573999999999985,0.6755210000000003,0.693627,0.6715660000000002,0.693551,0.6727720000000003,0.5097790000000002,0.285096
