Epoch,esophagus_loss,trachea_loss,lung_loss,heart_loss,kidney_loss,stomach_loss,liver_loss,gallbladder_loss,pancreas_loss,spleen_loss,colon_loss,aorta_loss,rib_loss,scapula_loss,clavicula_loss,iliopsoas_loss,autochthon_loss
0,0.7012139999999998,0.707564,0.716308,0.71376,0.7061080000000001,0.730842,0.7002179999999999,0.845214,0.790294,0.6945299999999999,0.708638,0.7231480000000002,0.67315,0.6757120000000001,0.675024,0.8617140000000001,0.675024
1,0.6800959999999999,0.691752,0.7009620000000001,0.670938,0.724632,0.6154540000000001,0.6989639999999998,0.697646,0.6346700000000001,0.6136400000000001,0.23423999999999995,0.6970819999999999,0.29193199999999997,0.449152,0.22281600000000004,0.0,0.23187200000000005
2,0.6819320000000002,0.6960180000000001,0.695212,0.6948899999999999,0.701014,0.6966919999999999,0.6959779999999999,0.537226,0.165272,0.47089800000000004,0.16802399999999998,0.6954739999999999,0.34708600000000006,0.6861680000000001,0.16761600000000001,0.17150400000000002,0.167328
3,0.7054660000000001,0.7034459999999999,0.6833280000000002,0.69772,0.6987439999999999,0.6952219999999998,0.70938,0.6669859999999999,0.539576,0.70888,0.5474039999999999,0.699358,0.556938,0.6161479999999999,0.524238,0.5224439999999999,0.543582
4,0.6828059999999998,0.696096,0.695538,0.6958520000000001,0.683104,0.615736,0.6829139999999999,0.507006,0.685208,0.6795019999999999,0.474844,0.6954600000000001,0.528446,0.621148,0.46940400000000004,0.46675199999999994,0.47191999999999995
5,0.6946859999999999,0.6953579999999999,0.6943940000000001,0.6951560000000001,0.6932619999999998,0.6981780000000002,0.6955279999999999,0.6324120000000001,0.6666799999999999,0.6963360000000002,0.447872,0.6808,0.447106,0.580912,0.4444160000000001,0.442944,0.44671999999999995
6,0.6959460000000002,0.694656,0.695486,0.69609,0.679966,0.600076,0.6811880000000001,0.6991039999999998,0.5959699999999999,0.694352,0.59985,0.6948339999999998,0.5933759999999999,0.59741,0.59942,0.604924,0.5947760000000001
7,0.6948660000000001,0.6940599999999999,0.695172,0.6934639999999999,0.5157039999999999,0.5313940000000001,0.6937820000000002,0.653228,0.48788200000000004,0.62412,0.48335,0.6940560000000001,0.485952,0.48188999999999993,0.48775999999999997,0.48678,0.48468000000000006
8,0.692654,0.6947099999999999,0.69384,0.6944139999999999,0.6963280000000001,0.6962579999999999,0.6946640000000001,0.62637,0.624186,0.699784,0.33983999999999986,0.6800559999999999,0.4173320000000001,0.33228,0.332064,0.330912,0.334224
9,0.6946080000000001,0.694898,0.694536,0.694868,0.667122,0.5264340000000001,0.6944979999999998,0.09679399999999999,0.6257440000000001,0.6394480000000001,0.098056,0.6941719999999999,0.305574,0.20872799999999997,0.09714600000000001,0.096054,0.09669799999999999
10,0.6926680000000001,0.693326,0.69324,0.692536,0.667678,0.5015740000000001,0.680144,0.6670760000000001,0.6383960000000001,0.6403319999999999,0.111696,0.694772,0.613686,0.5023679999999999,0.11086399999999999,0.111568,0.111328
11,0.693948,0.694978,0.6931059999999999,0.6955220000000001,0.6678460000000002,0.6646359999999999,0.695452,0.66417,0.6662159999999999,0.681048,0.666528,0.6790820000000001,0.66786,0.662238,0.661824,0.6646080000000002,0.6653760000000001
12,0.682698,0.682022,0.6943620000000001,0.6942939999999999,0.6783220000000001,0.6658780000000002,0.6663660000000001,0.529614,0.514304,0.569478,0.25102800000000003,0.694004,0.596136,0.269586,0.252936,0.25311599999999995,0.24933600000000003
13,0.694036,0.6930879999999999,0.692446,0.6799259999999999,0.681708,0.641164,0.66648,0.640278,0.635306,0.6805340000000001,0.6343399999999999,0.6785000000000001,0.637798,0.630942,0.64078,0.6420679999999999,0.6387559999999999
14,0.6940379999999999,0.694892,0.6942860000000001,0.69487,0.6924259999999998,0.48510800000000004,0.693746,0.6442960000000001,0.33257,0.6237020000000001,0.26318800000000003,0.695274,0.625448,0.31242,0.26497400000000004,0.26581000000000005,0.26216199999999995
15,0.694112,0.693886,0.6935180000000001,0.6945819999999999,0.6923559999999999,0.6934119999999999,0.6940079999999998,0.6480460000000001,0.6343159999999999,0.6974799999999999,0.635536,0.6796800000000001,0.66845,0.6876380000000001,0.644276,0.6377440000000001,0.6389400000000001
16,0.6931200000000001,0.6958239999999999,0.6933579999999999,0.6931780000000001,0.6527580000000001,0.528312,0.694148,0.517466,0.513296,0.6531579999999999,0.510082,0.6935880000000002,0.517168,0.5085999999999999,0.5143,0.5172599999999999,0.5091939999999999
